listing_id,source_listing_id,data_source,split_set,tier_primary,target_rule_min,target_rule_max,model_route,cat__brand_AND,cat__brand_Adidas,cat__brand_American Eagle,cat__brand_Anouk,cat__brand_Aurelia,cat__brand_Being Human,cat__brand_Bewakoof,cat__brand_Biba,cat__brand_Brand Factory,cat__brand_Calvin Klein,cat__brand_Diesel,cat__brand_Easybuy,cat__brand_FBB,cat__brand_Fabindia,cat__brand_Flying Machine,cat__brand_Forever 21,cat__brand_GAP,cat__brand_Global Desi,cat__brand_H&M,cat__brand_HRX,cat__brand_Highlander,cat__brand_House of Masaba,cat__brand_Indya,cat__brand_Jaypore,cat__brand_Killer,cat__brand_Label Ritu Kumar,cat__brand_Levi's,cat__brand_Libas,cat__brand_Mango,cat__brand_Manyavar,cat__brand_Marks & Spencer,cat__brand_Masaba,cat__brand_Max Fashion,cat__brand_Meena Bazaar,cat__brand_Moda Rapido,cat__brand_Mufti,cat__brand_Nalli,cat__brand_Neeru's,cat__brand_New Balance,cat__brand_Nicobar,cat__brand_Nike,cat__brand_Pantaloons,cat__brand_Rangriti,cat__brand_Red Tape,cat__brand_Reebok,cat__brand_Reliance Trends,cat__brand_Roadster,cat__brand_Skechers,cat__brand_Soch,cat__brand_Spykar,cat__brand_Style Bazaar,cat__brand_Superdry,cat__brand_Suta,cat__brand_Tommy Hilfiger,cat__brand_UCB,cat__brand_Under Armour,cat__brand_Uniqlo,cat__brand_Vishal Mega Mart,cat__brand_W for Woman,cat__brand_Zara,cat__brand_Zudio,cat__category_Activewear,cat__category_Dress,cat__category_Ethnic Wear,cat__category_Jacket,cat__category_Jeans,cat__category_Kurta,cat__category_Lehenga,cat__category_Saree,cat__category_Shirt,cat__category_Top,cat__material_Cotton,cat__material_Denim,cat__material_Leather,cat__material_Linen,cat__material_Polyester,cat__material_Silk,cat__size_L,cat__size_M,cat__size_S,cat__size_XL,cat__size_XS,cat__condition_Like New,cat__condition_New,cat__condition_Used,cat__tier_primary_Tier 1,cat__tier_primary_Tier 2,cat__tier_primary_Tier 3,cat__tier_primary_Tier 4,num__age_months,num__original_price,num__base_min_pct,num__base_max_pct,num__cond_mult,num__age_mult,num__cat_mult,num__mat_mult,num__brand_avg_price_min,num__brand_avg_price_max,num__is_open_ended_brand_price,num__brand_known_in_master
L0002,L0002,manual,train,Tier 1,20,30,tier_split_tier1to4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,599.0,0.05,0.06,0.9,0.9,1.0,1.0,400.0,1200.0,0.0,1.0
L0003,L0003,manual,train,Tier 3,250,350,tier_split_tier1to4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3999.0,0.07,0.09,1.0,1.0,0.95,1.0,4000.0,10000.0,0.0,1.0
L0005,L0005,manual,train,Tier 1,50,60,tier_split_tier1to4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,999.0,0.05,0.06,1.0,1.0,1.0,1.0,800.0,1800.0,0.0,1.0
L0007,L0007,manual,val,Tier 4,950,1200,tier_split_tier1to4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,9999.0,0.09,0.11,1.0,1.0,1.05,1.03,3000.0,6000.0,0.0,1.0
L0008,L0008,manual,val,Tier 2,80,90,tier_split_tier1to4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1499.0,0.06,0.07,0.9,0.9,1.0,1.05,1500.0,3500.0,0.0,1.0
L0009,L0009,manual,test,Tier 1,50,60,tier_split_tier1to4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1099.0,0.05,0.06,1.0,1.0,0.95,1.0,500.0,2500.0,0.0,1.0
L0011,L0011,manual,train,Tier 1,20,30,tier_split_tier1to4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,499.0,0.05,0.06,0.9,1.0,1.0,1.0,500.0,1200.0,0.0,1.0
L0012,L0012,manual,train,Tier 4,550,700,tier_split_tier1to4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5499.0,0.09,0.11,1.0,1.0,1.1,1.05,8000.0,25000.0,0.0,1.0
L0013,L0013,manual,train,Tier 4,250,300,tier_split_tier1to4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,5999.0,0.09,0.11,0.7,0.7,0.95,1.0,3000.0,6000.0,0.0,1.0
L0014,L0014,manual,train,Tier 3,120,160,tier_split_tier1to4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,2999.0,0.07,0.09,0.7,0.8,1.0,1.05,1000.0,9000.0,0.0,1.0
