listing_id,source_listing_id,data_source,brand,category,material,size,condition,age_months,original_price,tier_primary,base_min_pct,base_max_pct,cond_mult,age_mult,cat_mult,mat_mult,target_rule_min,target_rule_max,split_set
L0001,L0001,manual,Sabyasachi,Ethnic Wear,Silk,M,Like New,4,89999,Tier 5,0.11,0.14,0.9,0.9,1.1,1.05,9300,11800,train
L0002,L0002,manual,Zudio,Top,Cotton,S,Like New,4,599,Tier 1,0.05,0.06,0.9,0.9,1,1,20,30,train
L0003,L0003,manual,Nike,Activewear,Polyester,L,New,2,3999,Tier 3,0.07,0.09,1,1,0.95,1,250,350,train
L0004,L0004,manual,Gucci,Jacket,Leather,S,New,1,61999,Tier 5,0.11,0.14,1,1,1.05,1.05,7500,9600,train
L0005,L0005,manual,Rangriti,Kurta,Cotton,S,New,2,999,Tier 1,0.05,0.06,1,1,1,1,50,60,train
L0006,L0006,manual,Louis Vuitton,Jacket,Leather,M,Used,10,150000,Tier 5,0.11,0.14,0.7,0.8,1.05,1.05,10200,13000,train
L0007,L0007,manual,Zara,Dress,Linen,L,New,2,9999,Tier 4,0.09,0.11,1,1,1.05,1.03,950,1200,val
L0008,L0008,manual,Biba,Kurta,Silk,M,Like New,5,1499,Tier 2,0.06,0.07,0.9,0.9,1,1.05,80,90,val
L0009,L0009,manual,Roadster,Jeans,Denim,XL,New,2,1099,Tier 1,0.05,0.06,1,1,0.95,1,50,60,test
L0010,L0010,manual,Anita Dongre,Saree,Silk,M,New,3,59999,Tier 5,0.11,0.14,1,1,1.1,1.05,7600,9700,train
L0011,L0011,manual,Easybuy,Top,Polyester,S,Like New,3,499,Tier 1,0.05,0.06,0.9,1,1,1,20,30,train
L0012,L0012,manual,Manyavar,Ethnic Wear,Silk,XL,New,2,5499,Tier 4,0.09,0.11,1,1,1.1,1.05,550,700,train
L0013,L0013,manual,GAP,Jeans,Denim,L,Used,11,5999,Tier 4,0.09,0.11,0.7,0.7,0.95,1,250,300,train
L0014,L0014,manual,Fabindia,Kurta,Silk,M,Used,7,2999,Tier 3,0.07,0.09,0.7,0.8,1,1.05,120,160,train
L0015,L0015,manual,Prada,Dress,Silk,S,Like New,4,95000,Tier 5,0.11,0.14,0.9,0.9,1.05,1.05,9300,11900,train
L0016,L0016,manual,HRX,Activewear,Polyester,XS,New,3,999,Tier 1,0.05,0.06,1,1,0.95,1,50,60,train
L0017,L0017,manual,Sabyasachi,Saree,Silk,L,New,2,145000,Tier 5,0.11,0.14,1,1,1.1,1.05,18400,23400,val
L0018,L0018,manual,Moda Rapido,Dress,Polyester,S,New,1,1099,Tier 1,0.05,0.06,1,1,1.05,1,60,70,val
L0019,L0019,manual,Bewakoof,Top,Cotton,S,New,2,899,Tier 1,0.05,0.06,1,1,1,1,40,50,test
L0020,L0020,manual,Marks & Spencer,Shirt,Linen,L,Like New,5,3499,Tier 3,0.07,0.09,0.9,0.9,1,1.03,200,250,train
L0021,L0021,manual,Tarun Tahiliani,Saree,Silk,M,Like New,6,69999,Tier 5,0.11,0.14,0.9,0.9,1.1,1.05,7200,9200,train
L0022,L0022,manual,Mufti,Shirt,Linen,L,Used,10,3099,Tier 3,0.07,0.09,0.7,0.8,1,1.03,130,160,train
L0023,L0023,manual,Libas,Kurta,Cotton,S,New,4,899,Tier 1,0.05,0.06,1,0.9,1,1,40,50,train
L0024,L0024,manual,Anouk,Saree,Silk,M,New,3,1999,Tier 2,0.06,0.07,1,1,1.1,1.05,140,160,train
L0025,L0025,manual,Flying Machine,Jeans,Denim,L,Like New,4,1499,Tier 2,0.06,0.07,0.9,0.9,0.95,1,70,80,train
L0026,L0026,manual,Global Desi,Saree,Silk,S,Like New,6,2499,Tier 2,0.06,0.07,0.9,0.9,1.1,1.05,140,160,train
L0027,L0027,manual,Pantaloons,Jeans,Denim,S,Used,9,1099,Tier 1,0.05,0.06,0.7,0.8,0.95,1,30,40,val
L0028,L0028,manual,Indya,Jacket,Denim,L,Like New,5,1299,Tier 2,0.06,0.07,0.9,0.9,1.05,1,70,80,val
L0029,L0029,manual,Zara,Jacket,Denim,M,Used,8,4999,Tier 3,0.07,0.09,0.7,0.8,1.05,1,200,250,test
L0030,L0030,manual,H&M,Dress,Cotton,S,Used,9,1199,Tier 1,0.05,0.06,0.7,0.8,1.05,1,40,40,train
L0031,L0031,manual,Suta,Saree,Silk,M,New,1,2999,Tier 3,0.07,0.09,1,1,1.1,1.05,250,300,train
L0032,L0032,manual,Uniqlo,Jacket,Polyester,M,Like New,5,1999,Tier 2,0.06,0.07,0.9,0.9,1.05,1,100,120,train
L0033,L0033,manual,Forever 21,Dress,Polyester,S,New,2,1299,Tier 2,0.06,0.07,1,1,1.05,1,80,100,train
