listing_id,brand,category,gender,gender_source,gender_conflict_flag,material,size,condition,condition_token,age_months,age_bin_token,older_listing_flag,listing_lifecycle_action,age_policy_override_applied,original_price,provider_price,tier_primary,deviation_M,condition_penalty,age_penalty,deviation_penalty,total_penalty,final_quality_score_0_100,final_listing_decision,decision_label,effective_listing_decision,effective_decision_label,final_reviewer_note,listing_parent_id,gender_variant_type,gender_policy_override_applied,gender_policy_reason
L0001,Sabyasachi,Ethnic Wear,Unisex,category_derived,0,Silk,M,Like New,2,4,2,0,active_current_cycle,0,89999,12400,Tier 5,5.0847,8,4,5,17,83,Approve,0,Approve,0,Condition penalty -8; Age penalty -4; Price deviation penalty -5,L0001,base,0,allowed_gender_selection
L0001__G_WOMEN,Sabyasachi,Ethnic Wear,Women,user_selected,0,Silk,M,Like New,2,4,2,0,active_current_cycle,0,89999,12400,Tier 5,5.0847,8,4,5,17,83,Approve,0,Approve,0,Condition penalty -8; Age penalty -4; Price deviation penalty -5,L0001,explicit_women_allowed,0,allowed_gender_selection
L0001__G_MEN,Sabyasachi,Ethnic Wear,Men,user_selected,0,Silk,M,Like New,2,4,2,0,active_current_cycle,0,89999,12400,Tier 5,5.0847,8,4,5,17,83,Approve,0,Approve,0,Condition penalty -8; Age penalty -4; Price deviation penalty -5,L0001,explicit_men_allowed,0,allowed_gender_selection
L0002,Zudio,Top,Women,category_derived,0,Cotton,S,Like New,2,4,2,0,active_current_cycle,0,599,65,Tier 1,116.6667,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45,L0002,base,0,allowed_gender_selection
L0002__G_MEN,Zudio,Top,Men,user_selected,1,Cotton,S,Like New,2,4,2,0,active_current_cycle,0,599,65,Tier 1,116.6667,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45,L0002,explicit_men_conflict,0,gender_conflict_but_reject_already_applied
L0003,Nike,Activewear,Unisex,category_derived,0,Polyester,L,New,1,2,1,0,active_current_cycle,0,3999,480,Tier 3,37.1429,0,0,30,30,70,Review,1,Review,1,Price deviation penalty -30,L0003,base,0,allowed_gender_selection
L0003__G_WOMEN,Nike,Activewear,Women,user_selected,0,Polyester,L,New,1,2,1,0,active_current_cycle,0,3999,480,Tier 3,37.1429,0,0,30,30,70,Review,1,Review,1,Price deviation penalty -30,L0003,explicit_women_allowed,0,allowed_gender_selection
L0003__G_MEN,Nike,Activewear,Men,user_selected,0,Polyester,L,New,1,2,1,0,active_current_cycle,0,3999,480,Tier 3,37.1429,0,0,30,30,70,Review,1,Review,1,Price deviation penalty -30,L0003,explicit_men_allowed,0,allowed_gender_selection
L0004,Gucci,Jacket,Unisex,category_derived,0,Leather,S,New,1,1,1,0,active_current_cycle,0,61999,9100,Tier 5,0.0,0,0,0,0,100,Approve,0,Approve,0,Within expected quality and pricing tolerance,L0004,base,0,allowed_gender_selection
L0004__G_WOMEN,Gucci,Jacket,Women,user_selected,0,Leather,S,New,1,1,1,0,active_current_cycle,0,61999,9100,Tier 5,0.0,0,0,0,0,100,Approve,0,Approve,0,Within expected quality and pricing tolerance,L0004,explicit_women_allowed,0,allowed_gender_selection
L0004__G_MEN,Gucci,Jacket,Men,user_selected,0,Leather,S,New,1,1,1,0,active_current_cycle,0,61999,9100,Tier 5,0.0,0,0,0,0,100,Approve,0,Approve,0,Within expected quality and pricing tolerance,L0004,explicit_men_allowed,0,allowed_gender_selection
L0005,Rangriti,Kurta,Unisex,category_derived,0,Cotton,S,New,1,2,1,0,active_current_cycle,0,999,125,Tier 1,108.3333,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45,L0005,base,0,allowed_gender_selection
L0005__G_WOMEN,Rangriti,Kurta,Women,user_selected,0,Cotton,S,New,1,2,1,0,active_current_cycle,0,999,125,Tier 1,108.3333,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45,L0005,explicit_women_allowed,0,allowed_gender_selection
L0005__G_MEN,Rangriti,Kurta,Men,user_selected,0,Cotton,S,New,1,2,1,0,active_current_cycle,0,999,125,Tier 1,108.3333,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45,L0005,explicit_men_allowed,0,allowed_gender_selection
L0006,Louis Vuitton,Jacket,Unisex,category_derived,0,Leather,M,Used,3,10,4,1,needs_reapproval_or_removal,0,150000,14850,Tier 5,14.2308,18,12,12,42,58,Review,1,Review,1,Condition penalty -18; Age penalty -12; Price deviation penalty -12,L0006,base,0,allowed_gender_selection
L0006__G_WOMEN,Louis Vuitton,Jacket,Women,user_selected,0,Leather,M,Used,3,10,4,1,needs_reapproval_or_removal,0,150000,14850,Tier 5,14.2308,18,12,12,42,58,Review,1,Review,1,Condition penalty -18; Age penalty -12; Price deviation penalty -12,L0006,explicit_women_allowed,0,allowed_gender_selection
L0006__G_MEN,Louis Vuitton,Jacket,Men,user_selected,0,Leather,M,Used,3,10,4,1,needs_reapproval_or_removal,0,150000,14850,Tier 5,14.2308,18,12,12,42,58,Review,1,Review,1,Condition penalty -18; Age penalty -12; Price deviation penalty -12,L0006,explicit_men_allowed,0,allowed_gender_selection
L0007,Zara,Dress,Women,category_derived,0,Linen,L,New,1,2,1,0,active_current_cycle,0,9999,1155,Tier 4,0.0,0,0,0,0,100,Approve,0,Approve,0,Within expected quality and pricing tolerance,L0007,base,0,allowed_gender_selection
L0007__G_MEN,Zara,Dress,Men,user_selected,1,Linen,L,New,1,2,1,0,active_current_cycle,0,9999,1155,Tier 4,0.0,0,0,0,0,100,Approve,0,Review,1,Within expected quality and pricing tolerance,L0007,explicit_men_conflict,1,gender_category_conflict_review
L0008,Biba,Kurta,Unisex,category_derived,0,Silk,M,Like New,2,5,2,0,active_current_cycle,0,1499,185,Tier 2,105.5556,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45,L0008,base,0,allowed_gender_selection
L0008__G_WOMEN,Biba,Kurta,Women,user_selected,0,Silk,M,Like New,2,5,2,0,active_current_cycle,0,1499,185,Tier 2,105.5556,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45,L0008,explicit_women_allowed,0,allowed_gender_selection
