listing_id,brand,category,gender,gender_source,material,size,condition,age_months,original_price,provider_price,data_source,source_listing_id,tier_primary,base_min_pct,base_max_pct,cond_mult,age_mult,cat_mult,mat_mult,rule_min,rule_max,rule_mid,deviation_M,condition_penalty,age_penalty,deviation_penalty,total_penalty,penalties,rule_quality_score,rule_decision
L0001,Sabyasachi,Ethnic Wear,Unisex,category_derived,Silk,M,Like New,4,89999,12400,manual,L0001,Tier 5,0.11,0.14,0.9,0.9,1.1,1.05,9300,11800,10550.0,5.0847,8,4,5,17,cond=8|age=4|dev=5|total=17,83,Approve
L0002,Zudio,Top,Women,category_derived,Cotton,S,Like New,4,599,65,manual,L0002,Tier 1,0.05,0.06,0.9,0.9,1.0,1.0,20,30,25.0,116.6667,8,4,45,57,cond=8|age=4|dev=45|total=57,43,Reject
L0003,Nike,Activewear,Unisex,category_derived,Polyester,L,New,2,3999,480,manual,L0003,Tier 3,0.07,0.09,1.0,1.0,0.95,1.0,250,350,300.0,37.1429,0,0,30,30,cond=0|age=0|dev=30|total=30,70,Review
L0004,Gucci,Jacket,Unisex,category_derived,Leather,S,New,1,61999,9100,manual,L0004,Tier 5,0.11,0.14,1.0,1.0,1.05,1.05,7500,9600,8550.0,0.0,0,0,0,0,cond=0|age=0|dev=0|total=0,100,Approve
L0005,Rangriti,Kurta,Unisex,category_derived,Cotton,S,New,2,999,125,manual,L0005,Tier 1,0.05,0.06,1.0,1.0,1.0,1.0,50,60,55.0,108.3333,0,0,45,45,cond=0|age=0|dev=45|total=45,55,Reject
L0006,Louis Vuitton,Jacket,Unisex,category_derived,Leather,M,Used,10,150000,14850,manual,L0006,Tier 5,0.11,0.14,0.7,0.8,1.05,1.05,10200,13000,11600.0,14.2308,18,12,12,42,cond=18|age=12|dev=12|total=42,58,Review
L0007,Zara,Dress,Women,category_derived,Linen,L,New,2,9999,1155,manual,L0007,Tier 4,0.09,0.11,1.0,1.0,1.05,1.03,950,1200,1075.0,0.0,0,0,0,0,cond=0|age=0|dev=0|total=0,100,Approve
L0008,Biba,Kurta,Unisex,category_derived,Silk,M,Like New,5,1499,185,manual,L0008,Tier 2,0.06,0.07,0.9,0.9,1.0,1.05,80,90,85.0,105.5556,8,4,45,57,cond=8|age=4|dev=45|total=57,43,Reject
L0009,Roadster,Jeans,Unisex,category_derived,Denim,XL,New,2,1099,135,manual,L0009,Tier 1,0.05,0.06,1.0,1.0,0.95,1.0,50,60,55.0,125.0,0,0,45,45,cond=0|age=0|dev=45|total=45,55,Reject
L0010,Anita Dongre,Saree,Women,category_derived,Silk,M,New,3,59999,8580,manual,L0010,Tier 5,0.11,0.14,1.0,1.0,1.1,1.05,7600,9700,8650.0,0.0,0,0,0,0,cond=0|age=0|dev=0|total=0,100,Approve
