listing_id,source_listing_id,data_source,brand,category,material,size,condition,condition_token,age_months,age_bin_token,older_listing_flag,original_price,provider_price,tier_primary,deviation_M,condition_penalty,age_penalty,deviation_penalty,total_penalty,rule_quality_score,rule_decision,auto_suggested_quality_score_0_100,auto_suggested_listing_decision,age_policy_applied_to_suggestion,high_deviation_flag,used_flag,premium_tier_flag,borderline_flag,priority_score,selection_reason,review_batch,review_status,reviewer_name,review_date,final_quality_score_0_100,final_listing_decision,final_reviewer_note,label_source
L0699,L0154,synthetic,Manish Malhotra,Lehenga,Silk,M,Used,3,11,4,1,88741,3408,Tier 5,38.0364,18,12,30,60,40,Review,40,Review,0,1,1,1,1,12,older_listing_10plus|high_deviation_over_35|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,40,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -30; Older listing: needs reapproval/removal,human_reviewed
L0754,L0373,synthetic,Tarun Tahiliani,Lehenga,Silk,S,Used,3,11,4,1,27385,1033,Tier 5,39.2353,18,12,30,60,40,Review,40,Review,0,1,1,1,1,12,older_listing_10plus|high_deviation_over_35|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,40,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -30; Older listing: needs reapproval/removal,human_reviewed
L0923,L0248,synthetic,Under Armour,Activewear,Polyester,L,Used,3,11,4,1,11435,320,Tier 4,36,18,12,30,60,40,Review,40,Review,0,1,1,1,1,12,older_listing_10plus|high_deviation_over_35|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,40,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -30; Older listing: needs reapproval/removal,human_reviewed
L0999,L0114,synthetic,GAP,Jeans,Denim,L,Used,3,11,4,1,6610,482,Tier 4,37.7143,18,12,30,60,40,Review,40,Review,0,1,1,1,1,12,older_listing_10plus|high_deviation_over_35|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,40,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -30; Older listing: needs reapproval/removal,human_reviewed
L1405,L0079,synthetic,American Eagle,Jeans,Denim,S,Used,3,10,4,1,8863,697,Tier 4,39.4,18,12,30,60,40,Review,40,Review,0,1,1,1,1,12,older_listing_10plus|high_deviation_over_35|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,40,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -30; Older listing: needs reapproval/removal,human_reviewed
L0415,L0108,synthetic,Armani,Jacket,Leather,S,Used,3,14,4,1,49579,8886,Tier 5,140.1622,18,16,45,79,21,Reject,21,Reject,0,1,1,1,0,10,older_listing_10plus|high_deviation_over_35|used_condition|premium_tier_4_or_5,batch_01,reviewed,Anmol,3/13/26,21,Reject,Condition penalty -18; Age penalty -16; Price deviation penalty -45; Older listing: needs reapproval/removal,human_reviewed
L0477,L0160,synthetic,Calvin Klein,Jacket,Denim,M,Used,3,11,4,1,7524,1235,Tier 4,174.4444,18,12,45,75,25,Reject,25,Reject,0,1,1,1,0,10,older_listing_10plus|high_deviation_over_35|used_condition|premium_tier_4_or_5,batch_01,reviewed,Anmol,3/13/26,25,Reject,Condition penalty -18; Age penalty -12; Price deviation penalty -45; Older listing: needs reapproval/removal,human_reviewed
L0592,L0369,synthetic,Tommy Hilfiger,Shirt,Cotton,S,Used,3,13,4,1,9357,1373,Tier 4,174.6,18,16,45,79,21,Reject,21,Reject,0,1,1,1,0,10,older_listing_10plus|high_deviation_over_35|used_condition|premium_tier_4_or_5,batch_01,reviewed,Anmol,3/13/26,21,Reject,Condition penalty -18; Age penalty -16; Price deviation penalty -45; Older listing: needs reapproval/removal,human_reviewed
L0632,L0233,synthetic,Meena Bazaar,Ethnic Wear,Silk,S,Used,3,12,4,1,10695,3851,Tier 4,492.4615,18,12,45,75,25,Reject,25,Reject,0,1,1,1,0,10,older_listing_10plus|high_deviation_over_35|used_condition|premium_tier_4_or_5,batch_01,reviewed,Anmol,3/13/26,25,Reject,Condition penalty -18; Age penalty -12; Price deviation penalty -45; Older listing: needs reapproval/removal,human_reviewed
L0713,L0226,synthetic,Mufti,Shirt,Cotton,M,Used,3,11,4,1,5521,840,Tier 4,180,18,12,45,75,25,Reject,25,Reject,0,1,1,1,0,10,older_listing_10plus|high_deviation_over_35|used_condition|premium_tier_4_or_5,batch_01,reviewed,Anmol,3/13/26,25,Reject,Condition penalty -18; Age penalty -12; Price deviation penalty -45; Older listing: needs reapproval/removal,human_reviewed
