listing_id,source_listing_id,data_source,brand,category,material,size,condition,condition_token,age_months,age_bin_token,older_listing_flag,listing_lifecycle_action,age_policy_override_applied,original_price,provider_price,tier_primary,deviation_M,condition_penalty,age_penalty,deviation_penalty,total_penalty,final_quality_score_0_100,final_listing_decision,decision_label,effective_listing_decision,effective_decision_label,final_reviewer_note
L0001,L0001,manual,Sabyasachi,Ethnic Wear,Silk,M,Like New,2,4,2,0,active_current_cycle,0,89999,12400,Tier 5,5.0847,8,4,5,17,83,Approve,0,Approve,0,Condition penalty -8; Age penalty -4; Price deviation penalty -5
L0002,L0002,manual,Zudio,Top,Cotton,S,Like New,2,4,2,0,active_current_cycle,0,599,65,Tier 1,116.6667,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45
L0003,L0003,manual,Nike,Activewear,Polyester,L,New,1,2,1,0,active_current_cycle,0,3999,480,Tier 3,37.1429,0,0,30,30,70,Review,1,Review,1,Price deviation penalty -30
L0004,L0004,manual,Gucci,Jacket,Leather,S,New,1,1,1,0,active_current_cycle,0,61999,9100,Tier 5,0.0,0,0,0,0,100,Approve,0,Approve,0,Within expected quality and pricing tolerance
L0005,L0005,manual,Rangriti,Kurta,Cotton,S,New,1,2,1,0,active_current_cycle,0,999,125,Tier 1,108.3333,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45
L0006,L0006,manual,Louis Vuitton,Jacket,Leather,M,Used,3,10,4,1,needs_reapproval_or_removal,0,150000,14850,Tier 5,14.2308,18,12,12,42,58,Review,1,Review,1,Condition penalty -18; Age penalty -12; Price deviation penalty -12
L0007,L0007,manual,Zara,Dress,Linen,L,New,1,2,1,0,active_current_cycle,0,9999,1155,Tier 4,0.0,0,0,0,0,100,Approve,0,Approve,0,Within expected quality and pricing tolerance
L0008,L0008,manual,Biba,Kurta,Silk,M,Like New,2,5,2,0,active_current_cycle,0,1499,185,Tier 2,105.5556,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45
L0009,L0009,manual,Roadster,Jeans,Denim,XL,New,1,2,1,0,active_current_cycle,0,1099,135,Tier 1,125.0,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45
L0010,L0010,manual,Anita Dongre,Saree,Silk,M,New,1,3,1,0,active_current_cycle,0,59999,8580,Tier 5,0.0,0,0,0,0,100,Approve,0,Approve,0,Within expected quality and pricing tolerance
L0011,L0011,manual,Easybuy,Top,Polyester,S,Like New,2,3,1,0,active_current_cycle,0,499,60,Tier 1,100.0,8,0,45,53,47,Reject,2,Reject,2,Condition penalty -8; Price deviation penalty -45
L0012,L0012,manual,Manyavar,Ethnic Wear,Silk,XL,New,1,2,1,0,active_current_cycle,0,5499,785,Tier 4,12.1429,0,0,12,12,88,Approve,0,Approve,0,Price deviation penalty -12
L0013,L0013,manual,GAP,Jeans,Denim,L,Used,3,11,4,1,needs_reapproval_or_removal,0,5999,515,Tier 4,71.6667,18,12,45,75,25,Reject,2,Reject,2,Condition penalty -18; Age penalty -12; Price deviation penalty -45
L0014,L0014,manual,Fabindia,Kurta,Silk,M,Used,3,7,3,0,active_current_cycle,0,2999,280,Tier 3,75.0,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45
L0015,L0015,manual,Prada,Dress,Silk,S,Like New,2,4,2,0,active_current_cycle,0,95000,11650,Tier 5,0.0,8,4,0,12,88,Approve,0,Approve,0,Condition penalty -8; Age penalty -4
L0016,L0016,manual,HRX,Activewear,Polyester,XS,New,1,3,1,0,active_current_cycle,0,999,120,Tier 1,100.0,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45
L0017,L0017,manual,Sabyasachi,Saree,Silk,L,New,1,2,1,0,active_current_cycle,0,145000,19800,Tier 5,0.0,0,0,0,0,100,Approve,0,Approve,0,Within expected quality and pricing tolerance
L0018,L0018,manual,Moda Rapido,Dress,Polyester,S,New,1,1,1,0,active_current_cycle,0,1099,160,Tier 1,128.5714,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45
L0019,L0019,manual,Bewakoof,Top,Cotton,S,New,1,2,1,0,active_current_cycle,0,899,110,Tier 1,120.0,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45
L0020,L0020,manual,Marks & Spencer,Shirt,Linen,L,Like New,2,5,2,0,active_current_cycle,0,3499,525,Tier 3,110.0,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45
L0021,L0021,manual,Tarun Tahiliani,Saree,Silk,M,Like New,2,6,2,0,active_current_cycle,0,69999,8850,Tier 5,0.0,8,4,0,12,88,Approve,0,Approve,0,Condition penalty -8; Age penalty -4
L0022,L0022,manual,Mufti,Shirt,Linen,L,Used,3,10,4,1,needs_reapproval_or_removal,0,3099,265,Tier 3,65.625,18,12,45,75,25,Reject,2,Reject,2,Condition penalty -18; Age penalty -12; Price deviation penalty -45
L0023,L0023,manual,Libas,Kurta,Cotton,S,New,1,4,2,0,active_current_cycle,0,899,100,Tier 1,100.0,0,4,45,49,51,Reject,2,Reject,2,Age penalty -4; Price deviation penalty -45
L0024,L0024,manual,Anouk,Saree,Silk,M,New,1,3,1,0,active_current_cycle,0,1999,285,Tier 2,78.125,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45
L0025,L0025,manual,Flying Machine,Jeans,Denim,L,Like New,2,4,2,0,active_current_cycle,0,1499,185,Tier 2,131.25,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45
L0026,L0026,manual,Global Desi,Saree,Silk,S,Like New,2,6,2,0,active_current_cycle,0,2499,330,Tier 2,106.25,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45
L0027,L0027,manual,Pantaloons,Jeans,Denim,S,Used,3,9,3,0,active_current_cycle,0,1099,95,Tier 1,137.5,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45
L0028,L0028,manual,Indya,Jacket,Denim,L,Like New,2,5,2,0,active_current_cycle,0,1299,145,Tier 2,81.25,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45
L0029,L0029,manual,Zara,Jacket,Denim,M,Used,3,8,3,0,active_current_cycle,0,4999,475,Tier 3,90.0,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45
L0030,L0030,manual,H&M,Dress,Cotton,S,Used,3,9,3,0,active_current_cycle,0,1199,105,Tier 1,162.5,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45
L0031,L0031,manual,Suta,Saree,Silk,M,New,1,1,1,0,active_current_cycle,0,2999,430,Tier 3,43.3333,0,0,30,30,70,Review,1,Review,1,Price deviation penalty -30
L0032,L0032,manual,Uniqlo,Jacket,Polyester,M,Like New,2,5,2,0,active_current_cycle,0,1999,220,Tier 2,83.3333,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45
L0033,L0033,manual,Forever 21,Dress,Polyester,S,New,1,2,1,0,active_current_cycle,0,1299,175,Tier 2,75.0,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45
L0034,L0034,manual,Max Fashion,Jeans,Denim,M,New,1,3,1,0,active_current_cycle,0,999,120,Tier 1,100.0,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45
L0035,L0035,manual,Highlander,Shirt,Cotton,M,New,1,3,1,0,active_current_cycle,0,999,125,Tier 1,108.3333,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45
L0036,L0036,manual,Jaypore,Saree,Silk,M,Like New,2,6,2,0,active_current_cycle,0,8999,1150,Tier 4,21.0526,8,4,20,32,68,Review,1,Review,1,Condition penalty -8; Age penalty -4; Price deviation penalty -20
L0037,L0037,manual,Louis Vuitton,Shirt,Linen,XS,Like New,2,5,2,0,active_current_cycle,0,70499,8550,Tier 5,4.2683,8,4,5,17,83,Approve,0,Approve,0,Condition penalty -8; Age penalty -4; Price deviation penalty -5
L0038,L0038,manual,Armani,Jacket,Leather,S,Used,3,11,4,1,needs_reapproval_or_removal,0,45459,4150,Tier 5,22.0588,18,12,20,50,50,Review,1,Review,1,Condition penalty -18; Age penalty -12; Price deviation penalty -20
L0039,L0039,manual,W for Woman,Saree,Silk,M,New,1,2,1,0,active_current_cycle,0,2499,330,Tier 2,65.0,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45
L0040,L0040,manual,Biba,Dress,Silk,M,Like New,2,6,2,0,active_current_cycle,0,5500,825,Tier 4,50.0,8,4,30,42,58,Review,1,Review,1,Condition penalty -8; Age penalty -4; Price deviation penalty -30
L0041,L0041,manual,Global Desi,Ethnic Wear,Silk,M,Like New,2,5,2,0,active_current_cycle,0,3999,600,Tier 3,71.4286,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45
L0042,L0042,manual,Soch,Ethnic Wear,Silk,S,Like New,2,4,2,0,active_current_cycle,0,1499,205,Tier 2,105.0,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45
L0043,L0043,manual,Manish Malhotra,Ethnic Wear,Silk,M,Used,3,8,3,0,active_current_cycle,0,79999,8700,Tier 5,20.8333,18,8,20,46,54,Review,1,Review,1,Condition penalty -18; Age penalty -8; Price deviation penalty -20
L0044,L0044,manual,Aurelia,Kurta,Cotton,S,Used,3,8,3,0,active_current_cycle,0,999,100,Tier 1,233.3333,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45
L0045,L0045,manual,Tommy Hilfiger,Shirt,Cotton,L,Like New,2,6,2,0,active_current_cycle,0,5999,735,Tier 4,33.6364,8,4,20,32,68,Review,1,Review,1,Condition penalty -8; Age penalty -4; Price deviation penalty -20
L0046,L0046,manual,Calvin Klein,Jacket,Denim,M,Used,3,9,3,0,active_current_cycle,0,7999,760,Tier 4,52.0,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45
L0047,L0047,manual,Red Tape,Shirt,Linen,S,New,1,3,1,0,active_current_cycle,0,899,110,Tier 1,83.3333,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45
L0048,L0048,manual,Puma,Activewear,Polyester,M,Used,3,7,3,0,active_current_cycle,0,2999,260,Tier 3,85.7143,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45
L0049,L0049,manual,Label Ritu Kumar,Ethnic Wear,Silk,S,New,1,3,1,0,active_current_cycle,0,14500,2175,Tier 4,20.8333,0,0,20,20,80,Review,1,Review,1,Price deviation penalty -20
L0050,L0050,manual,Fabindia,Kurta,Cotton,XL,Used,3,10,4,1,needs_reapproval_or_removal,0,2799,280,Tier 3,100.0,18,12,45,75,25,Reject,2,Reject,2,Condition penalty -18; Age penalty -12; Price deviation penalty -45
L0051,L0051,manual,Prada,Dress,Silk,L,Like New,2,6,2,0,active_current_cycle,0,85999,10600,Tier 5,0.0,8,4,0,12,88,Approve,0,Approve,0,Condition penalty -8; Age penalty -4
L0052,L0052,manual,Nalli,Saree,Silk,L,Like New,2,3,1,0,active_current_cycle,0,6999,965,Tier 4,20.625,8,0,20,28,72,Review,1,Review,1,Condition penalty -8; Price deviation penalty -20
L0053,L0053,manual,Zudio,Top,Cotton,S,New,1,2,1,0,active_current_cycle,0,499,75,Tier 1,150.0,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45
L0054,L0054,manual,Adidas,Activewear,Polyester,S,Like New,2,5,2,0,active_current_cycle,0,3499,425,Tier 3,70.0,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45
L0055,L0055,manual,Libas,Kurta,Silk,S,New,1,2,1,0,active_current_cycle,0,1999,300,Tier 2,100.0,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45
L0056,L0056,manual,Bewakoof,Top,Polyester,S,Used,3,6,2,0,active_current_cycle,0,499,45,Tier 1,125.0,18,4,45,67,33,Reject,2,Reject,2,Condition penalty -18; Age penalty -4; Price deviation penalty -45
L0057,L0057,manual,Moda Rapido,Dress,Denim,S,New,1,1,1,0,active_current_cycle,0,899,115,Tier 1,91.6667,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45
L0058,L0058,manual,Roadster,Shirt,Cotton,M,New,1,3,1,0,active_current_cycle,0,1099,135,Tier 1,92.8571,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45
L0059,L0059,manual,Levi's,Jeans,Denim,M,New,1,2,1,0,active_current_cycle,0,3999,480,Tier 3,37.1429,0,0,30,30,70,Review,1,Review,1,Price deviation penalty -30
L0060,L0060,manual,FBB,Ethnic Wear,Cotton,L,New,1,4,2,0,active_current_cycle,0,699,90,Tier 1,125.0,0,4,45,49,51,Reject,2,Reject,2,Age penalty -4; Price deviation penalty -45
L0061,L0061,manual,Gucci,Jacket,Leather,M,Like New,2,6,2,0,active_current_cycle,0,120000,13300,Tier 5,0.0,8,4,0,12,88,Approve,0,Approve,0,Condition penalty -8; Age penalty -4
L0062,L0062,manual,HRX,Activewear,Polyester,M,New,1,3,1,0,active_current_cycle,0,2299,345,Tier 2,130.0,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45
L0063,L0063,manual,Skechers,Activewear,Polyester,M,Like New,2,4,2,0,active_current_cycle,0,4999,610,Tier 3,74.2857,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45
L0064,L0064,manual,Versace,Dress,Silk,M,Like New,2,5,2,0,active_current_cycle,0,110000,13400,Tier 5,0.0,8,4,0,12,88,Approve,0,Approve,0,Condition penalty -8; Age penalty -4
L0065,L0065,manual,Mufti,Shirt,Linen,M,Like New,2,4,2,0,active_current_cycle,0,2899,435,Tier 3,117.5,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45
L0066,L0066,manual,Reebok,Activewear,Polyester,S,Used,3,3,1,0,active_current_cycle,0,2799,285,Tier 3,67.6471,18,0,45,63,37,Reject,2,Reject,2,Condition penalty -18; Price deviation penalty -45
L0067,L0067,manual,Anouk,Saree,Cotton,S,Used,3,7,3,0,active_current_cycle,0,1899,155,Tier 2,93.75,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45
L0068,L0068,manual,Masaba,Dress,Silk,M,Like New,2,4,2,0,active_current_cycle,0,12000,1800,Tier 4,50.0,8,4,30,42,58,Review,1,Review,1,Condition penalty -8; Age penalty -4; Price deviation penalty -30
L0069,L0069,manual,Indya,Jacket,Denim,M,Used,3,9,3,0,active_current_cycle,0,1499,145,Tier 2,141.6667,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45
L0070,L0070,manual,Pantaloons,Dress,Cotton,L,Like New,2,6,2,0,active_current_cycle,0,2499,375,Tier 2,150.0,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45
L0071,L0071,manual,Vishal Mega Mart,Kurta,Cotton,L,Like New,2,5,2,0,active_current_cycle,0,799,90,Tier 1,125.0,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45
L0072,L0072,manual,Zudio,Shirt,Cotton,M,New,1,1,1,0,active_current_cycle,0,399,50,Tier 1,150.0,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45
L0073,L0073,manual,Under Armour,Activewear,Polyester,M,New,1,3,1,0,active_current_cycle,0,6999,840,Tier 4,12.0,0,0,12,12,88,Approve,0,Approve,0,Price deviation penalty -12
L0074,L0074,manual,Reliance Trends,Top,Cotton,S,Like New,2,6,2,0,active_current_cycle,0,799,90,Tier 1,125.0,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45
L0075,L0075,manual,Easybuy,Shirt,Polyester,M,Used,3,8,3,0,active_current_cycle,0,699,65,Tier 1,225.0,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45
L0076,L0076,manual,House of Masaba,Saree,Silk,M,Like New,2,7,3,0,active_current_cycle,0,13499,1650,Tier 4,37.5,8,8,30,46,54,Review,1,Review,1,Condition penalty -8; Age penalty -8; Price deviation penalty -30
L0077,L0077,manual,AND,Dress,Cotton,M,Like New,2,5,2,0,active_current_cycle,0,4999,525,Tier 3,31.25,8,4,20,32,68,Review,1,Review,1,Condition penalty -8; Age penalty -4; Price deviation penalty -20
