listing_id,source_listing_id,data_source,brand,category,gender,gender_source,gender_conflict_flag,material,size,condition,condition_token,age_months,age_bin_token,older_listing_flag,listing_lifecycle_action,age_policy_override_applied,original_price,provider_price,tier_primary,deviation_M,condition_penalty,age_penalty,deviation_penalty,total_penalty,final_quality_score_0_100,final_listing_decision,decision_label,effective_listing_decision,effective_decision_label,final_reviewer_note,split_set,listing_parent_id,gender_variant_type,gender_policy_override_applied,gender_policy_reason
L0001,L0001,manual,Sabyasachi,Ethnic Wear,Unisex,category_derived,0,Silk,M,Like New,2,4,2,0,active_current_cycle,0,89999,12400,Tier 5,5.0847,8,4,5,17,83,Approve,0,Approve,0,Condition penalty -8; Age penalty -4; Price deviation penalty -5,train,L0001,base,0,allowed_gender_selection
L0001__G_MEN,L0001,manual,Sabyasachi,Ethnic Wear,Men,user_selected,0,Silk,M,Like New,2,4,2,0,active_current_cycle,0,89999,12400,Tier 5,5.0847,8,4,5,17,83,Approve,0,Approve,0,Condition penalty -8; Age penalty -4; Price deviation penalty -5,train,L0001,explicit_men_allowed,0,allowed_gender_selection
L0001__G_WOMEN,L0001,manual,Sabyasachi,Ethnic Wear,Women,user_selected,0,Silk,M,Like New,2,4,2,0,active_current_cycle,0,89999,12400,Tier 5,5.0847,8,4,5,17,83,Approve,0,Approve,0,Condition penalty -8; Age penalty -4; Price deviation penalty -5,train,L0001,explicit_women_allowed,0,allowed_gender_selection
L0002,L0002,manual,Zudio,Top,Women,category_derived,0,Cotton,S,Like New,2,4,2,0,active_current_cycle,0,599,65,Tier 1,116.6667,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45,train,L0002,base,0,allowed_gender_selection
L0002__G_MEN,L0002,manual,Zudio,Top,Men,user_selected,1,Cotton,S,Like New,2,4,2,0,active_current_cycle,0,599,65,Tier 1,116.6667,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45,train,L0002,explicit_men_conflict,0,gender_conflict_but_reject_already_applied
L0003,L0003,manual,Nike,Activewear,Unisex,category_derived,0,Polyester,L,New,1,2,1,0,active_current_cycle,0,3999,480,Tier 3,37.1429,0,0,30,30,70,Review,1,Review,1,Price deviation penalty -30,train,L0003,base,0,allowed_gender_selection
L0003__G_MEN,L0003,manual,Nike,Activewear,Men,user_selected,0,Polyester,L,New,1,2,1,0,active_current_cycle,0,3999,480,Tier 3,37.1429,0,0,30,30,70,Review,1,Review,1,Price deviation penalty -30,train,L0003,explicit_men_allowed,0,allowed_gender_selection
L0003__G_WOMEN,L0003,manual,Nike,Activewear,Women,user_selected,0,Polyester,L,New,1,2,1,0,active_current_cycle,0,3999,480,Tier 3,37.1429,0,0,30,30,70,Review,1,Review,1,Price deviation penalty -30,train,L0003,explicit_women_allowed,0,allowed_gender_selection
L0004,L0004,manual,Gucci,Jacket,Unisex,category_derived,0,Leather,S,New,1,1,1,0,active_current_cycle,0,61999,9100,Tier 5,0.0,0,0,0,0,100,Approve,0,Approve,0,Within expected quality and pricing tolerance,val,L0004,base,0,allowed_gender_selection
L0004__G_MEN,L0004,manual,Gucci,Jacket,Men,user_selected,0,Leather,S,New,1,1,1,0,active_current_cycle,0,61999,9100,Tier 5,0.0,0,0,0,0,100,Approve,0,Approve,0,Within expected quality and pricing tolerance,val,L0004,explicit_men_allowed,0,allowed_gender_selection
