listing_id,brand,category,gender,gender_source,material,size,condition,age_months,original_price,provider_price,data_source,source_listing_id,tier_primary,base_min_pct,base_max_pct,cond_mult,age_mult,cat_mult,mat_mult,rule_min,rule_max,rule_mid,deviation_M,condition_penalty,age_penalty,deviation_penalty,total_penalty,penalties,rule_quality_score,rule_decision,quality_score_norm,item_freshness_score,freshness_score,provider_price_pct_of_original,model_b_predicted_decision,model_b_approve_probability,model_b_review_probability,model_b_reject_probability,recommendation_pool_status,recommendable_flag,review_fallback_eligible,category_avg_provider_price,price_vs_category_avg_ratio,catalog_priority_score
L0001,Sabyasachi,Ethnic Wear,Unisex,category_derived,Silk,M,Like New,4,89999,12400,manual,L0001,Tier 5,0.11,0.14,0.9,0.9,1.1,1.05,9300,11800,10550.0,5.0847,8,4,5,17,cond=8|age=4|dev=5|total=17,83,Approve,0.83,0.7777777777777778,0.7777777777777778,0.1377793086589851,Approve,0.9953315854072571,0.004641270264983177,2.7166612198925577e-05,PRIMARY_APPROVE,1,0,2191.154929577465,5.6591160363047335,0.886622
L0003,Nike,Activewear,Unisex,category_derived,Polyester,L,New,2,3999,480,manual,L0003,Tier 3,0.07,0.09,1.0,1.0,0.95,1.0,250,350,300.0,37.1429,0,0,30,30,cond=0|age=0|dev=30|total=30,70,Review,0.7,0.8888888888888888,0.8888888888888888,0.12003000750187547,Review,0.0058793239295482635,0.935674786567688,0.05844593048095703,REVIEW_FALLBACK,1,1,424.873417721519,1.1297482496648295,0.568954
L0004,Gucci,Jacket,Unisex,category_derived,Leather,S,New,1,61999,9100,manual,L0004,Tier 5,0.11,0.14,1.0,1.0,1.05,1.05,7500,9600,8550.0,0.0,0,0,0,0,cond=0|age=0|dev=0|total=0,100,Approve,1.0,0.9444444444444444,0.9444444444444444,0.14677656091227279,Approve,0.999289870262146,0.0007033631554804742,6.819007467129268e-06,PRIMARY_APPROVE,1,0,3417.938775510204,2.662423348598929,0.988747
L0007,Zara,Dress,Women,category_derived,Linen,L,New,2,9999,1155,manual,L0007,Tier 4,0.09,0.11,1.0,1.0,1.05,1.03,950,1200,1075.0,0.0,0,0,0,0,cond=0|age=0|dev=0|total=0,100,Approve,1.0,0.8888888888888888,0.8888888888888888,0.11551155115511551,Approve,0.999083399772644,0.0009100744500756264,6.533338364533847e-06,PRIMARY_APPROVE,1,0,2744.2330827067667,0.42088261645062924,0.977594
L0010,Anita Dongre,Saree,Women,category_derived,Silk,M,New,3,59999,8580,manual,L0010,Tier 5,0.11,0.14,1.0,1.0,1.1,1.05,7600,9700,8650.0,0.0,0,0,0,0,cond=0|age=0|dev=0|total=0,100,Approve,1.0,0.8333333333333334,0.8333333333333334,0.1430023833730562,Approve,0.9982352256774902,0.001755132107064128,9.66616516961949e-06,PRIMARY_APPROVE,1,0,2609.3522727272725,3.2881723520727455,0.966314
L0012,Manyavar,Ethnic Wear,Unisex,category_derived,Silk,XL,New,2,5499,785,manual,L0012,Tier 4,0.09,0.11,1.0,1.0,1.1,1.05,550,700,625.0,12.1429,0,0,12,12,cond=0|age=0|dev=12|total=12,88,Approve,0.88,0.8888888888888888,0.8888888888888888,0.14275322785961084,Approve,0.993301272392273,0.006620675791054964,7.803859625710174e-05,PRIMARY_APPROVE,1,0,2191.154929577465,0.3582585555241303,0.928438
L0015,Prada,Dress,Women,category_derived,Silk,S,Like New,4,95000,11650,manual,L0015,Tier 5,0.11,0.14,0.9,0.9,1.05,1.05,9300,11900,10600.0,0.0,8,4,0,12,cond=8|age=4|dev=0|total=12,88,Approve,0.88,0.7777777777777778,0.7777777777777778,0.12263157894736842,Approve,0.996968686580658,0.0030175563879311085,1.3756440239376388e-05,PRIMARY_APPROVE,1,0,2744.2330827067667,4.245266217878641,0.906949
L0017,Sabyasachi,Saree,Women,category_derived,Silk,L,New,2,145000,19800,manual,L0017,Tier 5,0.11,0.14,1.0,1.0,1.1,1.05,18400,23400,20900.0,0.0,0,0,0,0,cond=0|age=0|dev=0|total=0,100,Approve,1.0,0.8888888888888888,0.8888888888888888,0.13655172413793104,Approve,0.9976308345794678,0.002348145702853799,2.1070020011393353e-05,PRIMARY_APPROVE,1,0,2609.3522727272725,7.588090043244797,0.977304
L0021,Tarun Tahiliani,Saree,Women,category_derived,Silk,M,Like New,6,69999,8850,manual,L0021,Tier 5,0.11,0.14,0.9,0.9,1.1,1.05,7200,9200,8200.0,0.0,8,4,0,12,cond=8|age=4|dev=0|total=12,88,Approve,0.88,0.6666666666666667,0.6666666666666667,0.12643037757682252,Approve,0.9963799118995667,0.0036080568097531796,1.2050878467562143e-05,PRIMARY_APPROVE,1,0,2609.3522727272725,3.391646307207902,0.884609
L0036,Jaypore,Saree,Women,category_derived,Silk,M,Like New,6,8999,1150,manual,L0036,Tier 4,0.09,0.11,0.9,0.9,1.1,1.05,750,950,850.0,21.0526,8,4,20,32,cond=8|age=4|dev=20|total=32,68,Review,0.68,0.6666666666666667,0.6666666666666667,0.1277919768863207,Review,0.03316905349493027,0.9626407027244568,0.004190216772258282,REVIEW_FALLBACK,1,1,2609.3522727272725,0.44072240150159175,0.521967
L0037,Louis Vuitton,Shirt,Unisex,category_derived,Linen,XS,Like New,5,70499,8550,manual,L0037,Tier 5,0.11,0.14,0.9,0.9,1.0,1.03,6500,8200,7350.0,4.2683,8,4,5,17,cond=8|age=4|dev=5|total=17,83,Approve,0.83,0.7222222222222222,0.7222222222222222,0.12127831600448233,Approve,0.9969346523284912,0.003048371523618698,1.6947231415542774e-05,PRIMARY_APPROVE,1,0,563.860655737705,15.163320783241993,0.875831
L0045,Tommy Hilfiger,Shirt,Unisex,category_derived,Cotton,L,Like New,6,5999,735,manual,L0045,Tier 4,0.09,0.11,0.9,0.9,1.0,1.0,450,550,500.0,33.6364,8,4,20,32,cond=8|age=4|dev=20|total=32,68,Review,0.68,0.6666666666666667,0.6666666666666667,0.12252042007001167,Review,0.05381635203957558,0.9380841255187988,0.008099532686173916,REVIEW_FALLBACK,1,1,563.860655737705,1.3035135410155396,0.526097
L0049,Label Ritu Kumar,Ethnic Wear,Unisex,category_derived,Silk,S,New,3,14500,2175,manual,L0049,Tier 4,0.09,0.11,1.0,1.0,1.1,1.05,1500,1800,1650.0,20.8333,0,0,20,20,cond=0|age=0|dev=20|total=20,80,Review,0.8,0.8333333333333334,0.8333333333333334,0.15,Approve,0.7198644280433655,0.27611464262008667,0.004021022468805313,PRIMARY_APPROVE,1,0,2191.154929577465,0.9926272079808706,0.83064
L0051,Prada,Dress,Women,category_derived,Silk,L,Like New,6,85999,10600,manual,L0051,Tier 5,0.11,0.14,0.9,0.9,1.05,1.05,8400,10800,9600.0,0.0,8,4,0,12,cond=8|age=4|dev=0|total=12,88,Approve,0.88,0.6666666666666667,0.6666666666666667,0.12325724717729276,Approve,0.9956632256507874,0.00431473832577467,2.2025204089004546e-05,PRIMARY_APPROVE,1,0,2744.2330827067667,3.8626456574689785,0.884466
L0052,Nalli,Saree,Women,category_derived,Silk,L,Like New,3,6999,965,manual,L0052,Tier 4,0.09,0.11,0.9,1.0,1.1,1.05,650,800,725.0,20.625,8,0,20,28,cond=8|age=0|dev=20|total=28,72,Review,0.72,0.8333333333333334,0.8333333333333334,0.13787683954850694,Review,0.023699553683400154,0.9683021903038025,0.007998303510248661,REVIEW_FALLBACK,1,1,2609.3522727272725,0.36982358039046614,0.569407
L0059,Levi's,Jeans,Unisex,category_derived,Denim,M,New,2,3999,480,manual,L0059,Tier 3,0.07,0.09,1.0,1.0,0.95,1.0,250,350,300.0,37.1429,0,0,30,30,cond=0|age=0|dev=30|total=30,70,Review,0.7,0.8888888888888888,0.8888888888888888,0.12003000750187547,Review,0.0036724961828440428,0.9230893850326538,0.07323808968067169,REVIEW_FALLBACK,1,1,323.6756756756757,1.4829659318637274,0.568512
L0061,Gucci,Jacket,Unisex,category_derived,Leather,M,Like New,6,120000,13300,manual,L0061,Tier 5,0.11,0.14,0.9,0.9,1.05,1.05,11800,15000,13400.0,0.0,8,4,0,12,cond=8|age=4|dev=0|total=12,88,Approve,0.88,0.6666666666666667,0.6666666666666667,0.11083333333333334,Approve,0.9982806444168091,0.0017066469881683588,1.2686170521192253e-05,PRIMARY_APPROVE,1,0,3417.938775510204,3.891234124875358,0.884989
L0064,Versace,Dress,Women,category_derived,Silk,M,Like New,5,110000,13400,manual,L0064,Tier 5,0.11,0.14,0.9,0.9,1.05,1.05,10800,13800,12300.0,0.0,8,4,0,12,cond=8|age=4|dev=0|total=12,88,Approve,0.88,0.7222222222222222,0.7222222222222222,0.12181818181818181,Approve,0.9956925511360168,0.004283093847334385,2.4358920200029388e-05,PRIMARY_APPROVE,1,0,2744.2330827067667,4.882967151894746,0.895583
L0073,Under Armour,Activewear,Unisex,category_derived,Polyester,M,New,3,6999,840,manual,L0073,Tier 4,0.09,0.11,1.0,1.0,0.95,1.0,600,750,675.0,12.0,0,0,12,12,cond=0|age=0|dev=12|total=12,88,Approve,0.88,0.8333333333333334,0.8333333333333334,0.12001714530647235,Approve,0.9740161299705505,0.025715753436088562,0.00026815716410055757,PRIMARY_APPROVE,1,0,424.873417721519,1.9770594369134515,0.91347
