listing_id,brand,category,gender,gender_source,material,size,condition,age_months,original_price,provider_price,data_source,source_listing_id,tier_primary,base_min_pct,base_max_pct,cond_mult,age_mult,cat_mult,mat_mult,rule_min,rule_max,rule_mid,deviation_M,condition_penalty,age_penalty,deviation_penalty,total_penalty,penalties,rule_quality_score,rule_decision,quality_score_norm,freshness_score,provider_price_pct_of_original,recommendable_flag,recommendation_pool_status,catalog_priority_score
L0001,Sabyasachi,Ethnic Wear,Unisex,category_derived,Silk,M,Like New,4,89999,12400,manual,L0001,Tier 5,0.11,0.14,0.9,0.9,1.1,1.05,9300,11800,10550.0,5.0847,8,4,5,17,cond=8|age=4|dev=5|total=17,83,Approve,0.83,0.7777777777777778,0.1377793086589851,1,RECOMMENDABLE,0.811722
L0003,Nike,Activewear,Unisex,category_derived,Polyester,L,New,2,3999,480,manual,L0003,Tier 3,0.07,0.09,1.0,1.0,0.95,1.0,250,350,300.0,37.1429,0,0,30,30,cond=0|age=0|dev=30|total=30,70,Review,0.7,0.8888888888888888,0.12003000750187547,1,RECOMMENDABLE,0.766111
L0004,Gucci,Jacket,Unisex,category_derived,Leather,S,New,1,61999,9100,manual,L0004,Tier 5,0.11,0.14,1.0,1.0,1.05,1.05,7500,9600,8550.0,0.0,0,0,0,0,cond=0|age=0|dev=0|total=0,100,Approve,1.0,0.9444444444444444,0.14677656091227279,1,RECOMMENDABLE,0.980556
L0006,Louis Vuitton,Jacket,Unisex,category_derived,Leather,M,Used,10,150000,14850,manual,L0006,Tier 5,0.11,0.14,0.7,0.8,1.05,1.05,10200,13000,11600.0,14.2308,18,12,12,42,cond=18|age=12|dev=12|total=42,58,Review,0.58,0.4444444444444444,0.099,1,RECOMMENDABLE,0.532556
L0007,Zara,Dress,Women,category_derived,Linen,L,New,2,9999,1155,manual,L0007,Tier 4,0.09,0.11,1.0,1.0,1.05,1.03,950,1200,1075.0,0.0,0,0,0,0,cond=0|age=0|dev=0|total=0,100,Approve,1.0,0.8888888888888888,0.11551155115511551,1,RECOMMENDABLE,0.961111
L0010,Anita Dongre,Saree,Women,category_derived,Silk,M,New,3,59999,8580,manual,L0010,Tier 5,0.11,0.14,1.0,1.0,1.1,1.05,7600,9700,8650.0,0.0,0,0,0,0,cond=0|age=0|dev=0|total=0,100,Approve,1.0,0.8333333333333334,0.1430023833730562,1,RECOMMENDABLE,0.941667
L0012,Manyavar,Ethnic Wear,Unisex,category_derived,Silk,XL,New,2,5499,785,manual,L0012,Tier 4,0.09,0.11,1.0,1.0,1.1,1.05,550,700,625.0,12.1429,0,0,12,12,cond=0|age=0|dev=12|total=12,88,Approve,0.88,0.8888888888888888,0.14275322785961084,1,RECOMMENDABLE,0.883111
L0015,Prada,Dress,Women,category_derived,Silk,S,Like New,4,95000,11650,manual,L0015,Tier 5,0.11,0.14,0.9,0.9,1.05,1.05,9300,11900,10600.0,0.0,8,4,0,12,cond=8|age=4|dev=0|total=12,88,Approve,0.88,0.7777777777777778,0.12263157894736842,1,RECOMMENDABLE,0.844222
L0017,Sabyasachi,Saree,Women,category_derived,Silk,L,New,2,145000,19800,manual,L0017,Tier 5,0.11,0.14,1.0,1.0,1.1,1.05,18400,23400,20900.0,0.0,0,0,0,0,cond=0|age=0|dev=0|total=0,100,Approve,1.0,0.8888888888888888,0.13655172413793104,1,RECOMMENDABLE,0.961111
L0021,Tarun Tahiliani,Saree,Women,category_derived,Silk,M,Like New,6,69999,8850,manual,L0021,Tier 5,0.11,0.14,0.9,0.9,1.1,1.05,7200,9200,8200.0,0.0,8,4,0,12,cond=8|age=4|dev=0|total=12,88,Approve,0.88,0.6666666666666667,0.12643037757682252,1,RECOMMENDABLE,0.805333
L0031,Suta,Saree,Women,category_derived,Silk,M,New,1,2999,430,manual,L0031,Tier 3,0.07,0.09,1.0,1.0,1.1,1.05,250,300,275.0,43.3333,0,0,30,30,cond=0|age=0|dev=30|total=30,70,Review,0.7,0.9444444444444444,0.14338112704234746,1,RECOMMENDABLE,0.785556
L0036,Jaypore,Saree,Women,category_derived,Silk,M,Like New,6,8999,1150,manual,L0036,Tier 4,0.09,0.11,0.9,0.9,1.1,1.05,750,950,850.0,21.0526,8,4,20,32,cond=8|age=4|dev=20|total=32,68,Review,0.68,0.6666666666666667,0.1277919768863207,1,RECOMMENDABLE,0.675333
L0037,Louis Vuitton,Shirt,Unisex,category_derived,Linen,XS,Like New,5,70499,8550,manual,L0037,Tier 5,0.11,0.14,0.9,0.9,1.0,1.03,6500,8200,7350.0,4.2683,8,4,5,17,cond=8|age=4|dev=5|total=17,83,Approve,0.83,0.7222222222222222,0.12127831600448233,1,RECOMMENDABLE,0.792278
L0038,Armani,Jacket,Unisex,category_derived,Leather,S,Used,11,45459,4150,manual,L0038,Tier 5,0.11,0.14,0.7,0.7,1.05,1.05,2700,3400,3050.0,22.0588,18,12,20,50,cond=18|age=12|dev=20|total=50,50,Review,0.5,0.38888888888888884,0.09129105347675928,1,RECOMMENDABLE,0.461111
