listing_id,brand,category,gender,gender_source,material,size,condition,age_months,original_price,provider_price,data_source,source_listing_id,tier_primary,base_min_pct,base_max_pct,cond_mult,age_mult,cat_mult,mat_mult,rule_min,rule_max,rule_mid,deviation_M,condition_penalty,age_penalty,deviation_penalty,total_penalty,penalties,rule_quality_score,rule_decision,quality_score_norm,item_freshness_score,freshness_score,provider_price_pct_of_original,model_b_predicted_decision,model_b_approve_probability,model_b_review_probability,model_b_reject_probability,recommendation_pool_status,recommendable_flag,review_fallback_eligible,category_avg_provider_price,price_vs_category_avg_ratio,catalog_priority_score
L0001,Sabyasachi,Ethnic Wear,Unisex,category_derived,Silk,M,Like New,4,89999,12400,manual,L0001,Tier 5,0.11,0.14,0.9,0.9,1.1,1.05,9300,11800,10550.0,5.0847,8,4,5,17,cond=8|age=4|dev=5|total=17,83,Approve,0.83,0.7777777777777778,0.7777777777777778,0.1377793086589851,Approve,0.9953315854072572,0.0046412702649831,2.7166612198925577e-05,PRIMARY_APPROVE,1,0,2191.154929577465,5.6591160363047335,0.886622
L0003,Nike,Activewear,Unisex,category_derived,Polyester,L,New,2,3999,480,manual,L0003,Tier 3,0.07,0.09,1.0,1.0,0.95,1.0,250,350,300.0,37.1429,0,0,30,30,cond=0|age=0|dev=30|total=30,70,Review,0.7,0.8888888888888888,0.8888888888888888,0.1200300075018754,Review,0.0058793239295482,0.935674786567688,0.058445930480957,REVIEW_FALLBACK,1,1,424.873417721519,1.1297482496648297,0.568954
L0004,Gucci,Jacket,Unisex,category_derived,Leather,S,New,1,61999,9100,manual,L0004,Tier 5,0.11,0.14,1.0,1.0,1.05,1.05,7500,9600,8550.0,0.0,0,0,0,0,cond=0|age=0|dev=0|total=0,100,Approve,1.0,0.9444444444444444,0.9444444444444444,0.1467765609122727,Approve,0.999289870262146,0.0007033631554804,6.819007467129268e-06,PRIMARY_APPROVE,1,0,3417.938775510204,2.662423348598929,0.988747
L0007,Zara,Dress,Women,category_derived,Linen,L,New,2,9999,1155,manual,L0007,Tier 4,0.09,0.11,1.0,1.0,1.05,1.03,950,1200,1075.0,0.0,0,0,0,0,cond=0|age=0|dev=0|total=0,100,Approve,1.0,0.8888888888888888,0.8888888888888888,0.1155115511551155,Approve,0.999083399772644,0.0009100744500756,6.533338364533847e-06,PRIMARY_APPROVE,1,0,2744.2330827067667,0.4208826164506292,0.977594
L0010,Anita Dongre,Saree,Women,category_derived,Silk,M,New,3,59999,8580,manual,L0010,Tier 5,0.11,0.14,1.0,1.0,1.1,1.05,7600,9700,8650.0,0.0,0,0,0,0,cond=0|age=0|dev=0|total=0,100,Approve,1.0,0.8333333333333334,0.8333333333333334,0.1430023833730562,Approve,0.9982352256774902,0.0017551321070641,9.66616516961949e-06,PRIMARY_APPROVE,1,0,2609.3522727272725,3.2881723520727455,0.966314
L0012,Manyavar,Ethnic Wear,Unisex,category_derived,Silk,XL,New,2,5499,785,manual,L0012,Tier 4,0.09,0.11,1.0,1.0,1.1,1.05,550,700,625.0,12.1429,0,0,12,12,cond=0|age=0|dev=12|total=12,88,Approve,0.88,0.8888888888888888,0.8888888888888888,0.1427532278596108,Approve,0.993301272392273,0.0066206757910549,7.803859625710174e-05,PRIMARY_APPROVE,1,0,2191.154929577465,0.3582585555241303,0.928438
L0015,Prada,Dress,Women,category_derived,Silk,S,Like New,4,95000,11650,manual,L0015,Tier 5,0.11,0.14,0.9,0.9,1.05,1.05,9300,11900,10600.0,0.0,8,4,0,12,cond=8|age=4|dev=0|total=12,88,Approve,0.88,0.7777777777777778,0.7777777777777778,0.1226315789473684,Approve,0.996968686580658,0.0030175563879311,1.3756440239376388e-05,PRIMARY_APPROVE,1,0,2744.2330827067667,4.245266217878641,0.906949
L0017,Sabyasachi,Saree,Women,category_derived,Silk,L,New,2,145000,19800,manual,L0017,Tier 5,0.11,0.14,1.0,1.0,1.1,1.05,18400,23400,20900.0,0.0,0,0,0,0,cond=0|age=0|dev=0|total=0,100,Approve,1.0,0.8888888888888888,0.8888888888888888,0.136551724137931,Approve,0.9976308345794678,0.0023481457028537,2.1070020011393353e-05,PRIMARY_APPROVE,1,0,2609.3522727272725,7.588090043244797,0.977304
L0021,Tarun Tahiliani,Saree,Women,category_derived,Silk,M,Like New,6,69999,8850,manual,L0021,Tier 5,0.11,0.14,0.9,0.9,1.1,1.05,7200,9200,8200.0,0.0,8,4,0,12,cond=8|age=4|dev=0|total=12,88,Approve,0.88,0.6666666666666667,0.6666666666666667,0.1264303775768225,Approve,0.9963799118995668,0.0036080568097531,1.2050878467562144e-05,PRIMARY_APPROVE,1,0,2609.3522727272725,3.391646307207902,0.884609
L0036,Jaypore,Saree,Women,category_derived,Silk,M,Like New,6,8999,1150,manual,L0036,Tier 4,0.09,0.11,0.9,0.9,1.1,1.05,750,950,850.0,21.0526,8,4,20,32,cond=8|age=4|dev=20|total=32,68,Review,0.68,0.6666666666666667,0.6666666666666667,0.1277919768863207,Review,0.0331690534949302,0.9626407027244568,0.0041902167722582,REVIEW_FALLBACK,1,1,2609.3522727272725,0.4407224015015917,0.521967
